1,PropertyID,Street,City   ,ZipCode,Legal,SEV,Status,Closing date
107,9005357,2145 MCPHERSON DETROIT,CITY OF DETROIT,48212,"N MC PHERSON 747 GRACE & ROOS ADD L15 P31 PLATS, W C R 9/128 30 X 100","$2,000 ",Active, 10-23-018 9:15:00 AM
108,9005362,2427 MCPHERSON,DETROIT,48212,"3 expiring 12/30/2014. Property exempt from Ad Valorem taxes and assessed pursuant to PA 261 of 2003 expiring 12/30/2014. N MC PHERSON 30 HANNAN & TRIX SUB L30 P1 PLATS, W C R 9/129 30 X 100","$5,300 ",Active, 10-23-018 9:15:00 AM
109,9005841,1984 MEADE,DETROIT,48212,"S MEADE 443 GRACE & ROOS ADD L15 P31 PLATS, W C R 9/128 30 X 100","$4,800 ",Active, 10-23-018 9:15:00 AM
110,9006672,1817 E MCNICHOLS,DETROIT,48212,"N-E MC NICHOLS RD 239 LELAND HEIGHTS SUB L35 P14 PLATS, W C R 9/153 20 X 100","$1,400 ",Active, 10-23-018 9:15:00 AM
111,09006784-8,3101 JEROME,DETROIT,48212,"N JEROME 262 THRU 266 DODGE WOODLANDS SUB L32 P81 PLATS, W C R 9/158 103.39 X 100","$7,000 ",Active, 10-23-018 9:15:00 AM
112,9006955,984 E SAVANNAH,DETROIT,48203,"S SAVANNAH E 72 KIEFER HOMES SUB L34 P14 PLATS, W C R 9/164 30 X 100","$6,400 ",Active, 10-23-018 9:15:00 AM
113,9007328,980 E BRENTWOOD,DETROIT,48203,"S BRENTWOOD E 86 SEVEN-OAKLAND SUB L34 P62 PLATS, W C R 9/165 35 X 112","$6,100 ",Active, 10-23-018 9:15:00 AM
114,9007370,955 E BRENTWOOD,DETROIT,48203,"N BRENTWOOD E 75 SEVEN-OAKLAND SUB L34 P62 PLATS, W C R 9/165 35 X 112","$8,700 ",Active, 10-23-018 9:15:00 AM
115,9008046,427 E STATE FAIR,DETROIT,48203,"N STATE FAIR E 108&107 GILMORE & CHAVENELLES SUB L38 P94 PLATS, W C R 9/193 40 X 100","$10,000 ",Active, 10-23-018 9:15:00 AM
116,9008372,430 W WINCHESTER,DETROIT,48203,"N WINCHESTER E 19 FT 26 W 37.50 FT 25 LITTLE GARDEN FARMS SUB L30 P67 PLATS, W C R 9/181 56.50 X 150",$700 ,Active, 10-23-018 9:15:00 AM
117,9008398,462 COLTON,DETROIT,48203,"N COLTON E 34 FT 43 LITTLE GARDEN FARMS SUB L30 P67 PLATS, W C R 9/181 34 X 150",$500 ,Active, 10-23-018 9:15:00 AM
118,9008403,424 COLTON,DETROIT,48203,"N COLTON E 42 FT 40 LITTLE GARDEN FARMS SUB L30 P67 PLATS, W C R 9/181 42 X 150",$600 ,Active, 10-23-018 9:15:00 AM
119,9008506,1572 E OUTER DR,DETROIT,48234,"W CONANT 683 EXC PT TAKEN FOR WD OUTER DRIVE BURTONS SEVEN MILE ROAD SUB L34 P47 PLATS, W C R 9/182 20 IRREG","$17,200 ",Active, 10-23-018 9:15:00 AM
120,9009535,13457 NEWBERN,DETROIT,48212,"W NEWBERN 10 EDWARD A RANDALLS SUB L28 P21 PLATS, W C R 9/147 30 X 125.83","$4,200 ",Active, 10-23-018 9:15:00 AM
121,9009710,17424 GALLAGHER,DETROIT,48212,"E GALLAGHER 478 DODGE WOODLANDS SUB L32 P81 PLATS, W C R 9/158 30 X 100","$5,000 ",Active, 10-23-018 9:15:00 AM
122,9009744,17935 GALLAGHER,DETROIT,48212,"W GALLAGHER 443 DODGE WOODLANDS SUB L32 P81 PLATS, W C R 9/158 30 X 100","$9,000 ",Active, 10-23-018 9:15:00 AM
123,9010493,17400 MCDOUGALL,DETROIT,48212,"E MC DOUGALL 257 DODGE WOODLANDS SUB L32 P81 PLATS, W C R 9/158 30 X 100","$3,800 ",Active, 10-23-018 9:15:00 AM
124,9010520,17802 MCDOUGALL,DETROIT,48234,"E MC DOUGALL 230 DODGE WOODLANDS SUB L32 P81 PLATS, W C R 9/158 30 X 100","$9,400 ",Active, 10-23-018 9:15:00 AM
125,9010595,17801 MCDOUGALL,DETROIT,48234,"W MC DOUGALL 177 DODGE WOODLANDS SUB L32 P81 PLATS, W C R 9/158 30 X 100","$9,100 ",Active, 10-23-018 9:15:00 AM
